race_name,category,climb_name,climb_url,length,steepness,top,km_before_finnish
tour-de-romandie,44.792 km/h,La Rasse,location/cote-de-la-rasse,2.1,8.5,628.0,73.0
tour-de-romandie,44.792 km/h,Arconciel,location/arconciel,1.8,7.3,729.0,90.0
tour-de-romandie,44.792 km/h,Arconciel,location/arconciel,1.8,7.3,729.0,9.0
tour-de-romandie,44.792 km/h,Arconciel,location/arconciel,1.8,7.3,729.0,50.0
tour-de-romandie,44.792 km/h,Dardagny,location/dardagny,1.5,4.1,426.0,134.0
tour-de-romandie,44.792 km/h,Dardagny,location/dardagny,1.5,4.1,426.0,99.0
tour-de-romandie,44.792 km/h,Dardagny,location/dardagny,1.5,4.1,426.0,64.0
tour-de-romandie,44.792 km/h,Dardagny,location/dardagny,1.5,4.1,426.0,30.0
tour-de-romandie,44.792 km/h,Lorette,location/chemin-de-lorette,0.7,12.8,637.0,36.0
tour-de-romandie,44.792 km/h,Lorette,location/chemin-de-lorette,0.7,12.8,637.0,77.0
eschborn-frankfurt,42.155 km/h,Feldberg,location/feldberg,11.1,4.8,844.0,155.0
eschborn-frankfurt,42.155 km/h,Feldberg,location/feldberg,8.0,5.9,844.0,84.0
eschborn-frankfurt,42.155 km/h,Mammolshain,location/mammolshainer-berg,2.4,7.8,365.0,95.0
eschborn-frankfurt,42.155 km/h,Mammolshain,location/mammolshainer-berg,2.4,7.8,365.0,35.0
eschborn-frankfurt,42.155 km/h,Mammolshain,location/mammolshainer-berg,2.4,7.8,365.0,110.0
giro-d-italia,43.647 km/h,Passo Pinei/Panidersattel,location/passo-di-pinei,23.4,4.8,1442.0,12.0
giro-d-italia,43.647 km/h,Passo Rolle,location/passo-rolle,19.8,4.6,1973.0,91.0
giro-d-italia,43.647 km/h,Monte Grappa,location/monte-grappa,18.1,8.1,1671.0,31.0
giro-d-italia,43.647 km/h,Monte Grappa,location/monte-grappa,18.1,8.1,1671.0,78.0
giro-d-italia,43.647 km/h,Bocca della Selva,location/bocca-della-selva,18.1,5.6,1389.0,0.0
giro-d-italia,43.647 km/h,Forca Capistrello,location/forca-capistrello,16.4,5.6,1211.0,115.0
giro-d-italia,43.647 km/h,Passo del Bracco,location/passo-del-bracco,15.3,4.0,621.0,116.0
giro-d-italia,43.647 km/h,Prati di Tivo,location/prati-di-tivo,14.7,7.0,1451.0,0.0
giro-d-italia,43.647 km/h,Passo di Foscagno,location/passo-di-foscagno,14.6,6.3,2292.0,9.0
giro-d-italia,43.647 km/h,Colle San Zeno,location/colle-san-zeno,13.7,6.7,1420.0,157.0
giro-d-italia,43.647 km/h,Passo Brocon,location/passo-brocon,13.6,6.5,1612.0,32.0
giro-d-italia,43.647 km/h,Passo del Mortirolo,location/passo-del-mortirolo,12.6,7.7,1868.0,67.0
giro-d-italia,43.647 km/h,Passo Brocon,location/passo-brocon,11.9,6.4,1604.0,0.0
