climb_name,climb_url,length,steepness,top,km_before_finnish,race_name
Côte de Chouvigny,location/cote-de-chouvigny,2.4,7.8,524,128,dauphine
Côte de Gannat,location/cote-de-gannat,2.4,6.2,509,146,dauphine
Côte de Valogeon,location/cote-de-valogeon,2.1,5.1,1187,35,dauphine
Côte de la Côte-Saint-André,location/cote-de-la-cote-saint-andre,1.9,6.5,498,143,dauphine
Côte de Bel-Air,location/cote-de-bel-air4,1.8,5.1,334,23,dauphine
Côte de Croix de Signy,location/cote-de-croix-de-signy,1.6,4.1,779,117,dauphine
Côte de Jenzat,location/cote-de-jenzat,1.5,6.3,387,155,dauphine
Carì,location/cari,10.2,8.0,1636,1,tour-de-suisse
Gotthardpass,location/passo-san-gottardo,8.2,6.6,2041,2,tour-de-suisse
Carì,location/cari,7.7,9.8,1606,117,tour-de-suisse
Ricken,location/ricken,6.1,5.9,798,103,tour-de-suisse
Kerenzerberg,location/kerenzerberg,6.0,4.8,727,135,tour-de-suisse
Blatten,location/blatten,5.8,8.8,1186,1,tour-de-suisse
Albipass,location/albipass,5.2,5.9,788,166,tour-de-suisse
Ronco,location/ronco-switzerland,5.2,8.4,1418,141,tour-de-suisse
Schöllenen,location/schollenen,4.5,7.5,1397,14,tour-de-suisse
Oberwil-Lieli,location/oberwil-lieli,3.8,5.4,584,33,tour-de-suisse
Regensberg,location/regensberg,2.9,6.3,619,12,tour-de-suisse
Aegst am Albis,location/aegst-am-albis,2.6,6.5,680,16,tour-de-suisse
Albipass,location/albipass,2.0,5.9,783,10,tour-de-suisse
Col de la Croix,location/col-de-la-croix,0.0,0.0,0,110,tour-de-suisse
Villars-sur-Ollon,location/villars-sur-ollon,0.0,0.0,0,61,tour-de-suisse
Col de la Croix,location/col-de-la-croix,0.0,0.0,0,51,tour-de-suisse
Villars-sur-Ollon,location/villars-sur-ollon,0.0,0.0,0,1,tour-de-suisse
Sestrières,location/sestriere,39.2,3.7,2037,89,tour-de-france
Cime de la Bonette,location/cime-de-la-bonette-restefond,23.1,6.8,2798,57,tour-de-france
Col du Galibier,location/col-du-galibier,22.9,5.1,2628,19,tour-de-france
Col de Turini,location/col-de-turini,20.8,5.7,1602,73,tour-de-france
Col du Tourmalet,location/col-du-tourmalet,18.9,7.4,2115,62,tour-de-france
Col de Vars ,location/col-de-vars,18.9,5.6,2105,102,tour-de-france
Isola 2000,location/isola-2000,16.1,7.1,2022,0,tour-de-france
Col de la Couillole,location/col-de-la-couillole,15.8,7.3,1676,0,tour-de-france
Plateau de Beille,location/plateau-de-beille,15.7,7.8,1782,0,tour-de-france
